FromConvergenceNoFlashing,FromConvergenceFlashing,FromConvergenceNoTarget,FromDivergenceNoFlashing,FromDivergenceFlashing,FromDivergenceNoTarget,Time
NaN,1.49184889501684,NaN,-0.748067610883101,NaN,-0.824813752118771,-4.625
NaN,1.49738727394494,NaN,-0.770735897137703,NaN,-0.826894686524708,-4.62
NaN,1.5017514420879,NaN,-0.789101348807684,NaN,-0.817202264406779,-4.615
NaN,1.50554193533863,NaN,-0.808433288059741,NaN,-0.802916534500791,-4.61
NaN,1.50895470899637,NaN,-0.820083297005959,NaN,-0.803253747871754,-4.605
NaN,1.51265492310245,NaN,-0.793854715290017,NaN,-0.820916580399278,-4.6
NaN,1.51866854974,NaN,-0.808752725113118,NaN,-0.80710346910589,-4.595
NaN,1.52045248526814,NaN,-0.815750732313226,NaN,-0.790541775614507,-4.59
NaN,1.52420032892031,NaN,-0.820670128346936,NaN,-0.779515396738734,-4.585
NaN,1.52747962865533,NaN,-0.822025139298226,NaN,-0.764467463640446,-4.58
NaN,1.52985266623516,NaN,-0.827762614413854,NaN,-0.748572941800807,-4.575
NaN,1.52933995545442,NaN,-0.831613452013519,NaN,-0.801039901086009,-4.57
NaN,1.52924131434315,NaN,-0.832582529410828,NaN,-0.79482073089546,-4.565
NaN,1.52789801596111,NaN,-0.823825013918272,NaN,-0.795978805020267,-4.56
NaN,1.52837574132417,NaN,-0.81897820560067,NaN,-0.784007599260733,-4.555
NaN,1.52840836918143,NaN,-0.8100849926649,NaN,-0.760892254835586,-4.55
NaN,1.52938443259934,NaN,-0.782672234691312,NaN,-0.730254660207068,-4.545
NaN,1.52931797774415,NaN,-0.773013872782325,NaN,-0.707506367133569,-4.54
NaN,1.52498838097779,NaN,-0.761894741956779,NaN,-0.701101242989625,-4.535
NaN,1.5215941083097,NaN,-0.798522470429393,NaN,-0.682826243217514,-4.53
NaN,1.51751812031068,NaN,-0.762484482803932,NaN,-0.650657746865021,-4.525
NaN,1.51040817660393,NaN,-0.752293368913822,NaN,-0.635061526174889,-4.52
NaN,1.51111452314026,NaN,-0.743264130742969,NaN,-0.632895685139899,-4.515
NaN,1.53039948637879,NaN,-0.721251647359569,NaN,-0.61439438554558,-4.51
NaN,1.52687153229034,NaN,-0.695023809546872,NaN,-0.599919412881098,-4.505
NaN,1.51844666408626,NaN,-0.67212302602191,NaN,-0.58404722353859,-4.5
NaN,1.50902864067235,NaN,-0.649174341343081,NaN,-0.574298973337793,-4.495
NaN,1.49901629475086,NaN,-0.625069505907526,NaN,-0.555565612853932,-4.49
NaN,1.49269016490077,NaN,-0.602899625996705,NaN,-0.560227207817661,-4.485
NaN,1.48422085156862,NaN,-0.582447749965904,NaN,-0.560474929070642,-4.48
NaN,1.47639497005637,NaN,-0.562047442310957,NaN,-0.548340306630088,-4.475
NaN,1.4662929057055,NaN,-0.540999572609808,NaN,-0.539695308126946,-4.47
NaN,1.45594847093934,NaN,-0.520435034553293,NaN,-0.519028363037141,-4.465
NaN,1.4470815339635,NaN,-0.499918385509162,NaN,-0.503610116506909,-4.46
NaN,1.43594093229154,NaN,-0.477784480764077,NaN,-0.490977005967751,-4.455
NaN,1.42627037511207,NaN,-0.466926758351672,NaN,-0.470258214555167,-4.45
NaN,1.41406090256901,NaN,-0.45482398513124,NaN,-0.460842794934269,-4.445
NaN,1.40455561396632,NaN,-0.449654291946356,NaN,-0.441333467252894,-4.44
NaN,1.39673206116976,1.31717360380551,-0.424506826600985,NaN,-0.433502889069974,-4.435
NaN,1.38841250477217,1.32792333225947,-0.414546063302043,NaN,-0.428547565470639,-4.43
NaN,1.37704453429227,1.32021000206251,-0.40443863910704,NaN,-0.415990877246583,-4.425
NaN,1.36716489575687,1.30665590963711,-0.391873687022988,NaN,-0.402709305268705,-4.42
NaN,1.35395011689058,1.29560349427667,-0.367311353158609,NaN,-0.402266929863314,-4.415
NaN,1.34222508042457,1.28005987073471,-0.358361140124888,NaN,-0.384810905250958,-4.41
NaN,1.32983464910232,1.27184173669607,-0.349313237383524,NaN,-0.368199149088874,-4.405
NaN,1.31907873427301,1.26278149266975,-0.347784854588187,NaN,-0.348322417558831,-4.4
NaN,1.30928040382004,1.25153074789821,-0.344264437414129,NaN,-0.331634651968643,-4.395
NaN,1.29408547283508,1.23933186912094,-0.33659354993385,NaN,-0.320397940799985,-4.39
NaN,1.28273332695854,1.21884056192788,-0.334515834034938,NaN,-0.314787882494307,-4.385
NaN,1.26990744948491,1.20350653673647,-0.326559658436543,NaN,-0.299986731331886,-4.38
NaN,1.24953600371795,1.1886660373887,-0.318038966048846,NaN,-0.28676226800201,-4.375
NaN,1.2362659744912,1.1757034200677,-0.317890857714444,-0.646320105894539,-0.283741701473868,-4.37
NaN,1.22341378020784,1.15865288241519,-0.321542213743114,-0.635223029231722,-0.279790206192095,-4.365
NaN,1.21052306388907,1.14575305646003,-0.313916143181506,-0.61896177445205,-0.290811496598704,-4.36
NaN,1.19709692157528,1.13367462427559,-0.318841088101244,-0.606033272744403,-0.300485472199987,-4.355
NaN,1.16853957319963,1.11304340820108,-0.320738512016107,-0.597243854302708,-0.299354326678558,-4.35
NaN,1.15460980624848,1.09891271110832,-0.31413423651511,-0.592711910469749,-0.308379529650492,-4.345
NaN,1.13951384332201,1.08059746605078,-0.299673636235783,-0.590810468506899,-0.30739209747682,-4.34
NaN,1.12731409211719,1.06358480999357,-0.287786989596652,-0.581868072542126,-0.301957304119033,-4.335
NaN,1.10635111710518,1.04784842411896,-0.295928995900438,-0.572990696781298,-0.264060615462529,-4.33
NaN,1.09301808994058,1.0341473571364,-0.294616940235944,-0.569266908327483,-0.277744137085494,-4.325
NaN,1.0750425826453,1.02075604080379,-0.298207735236666,-0.571082956717226,-0.303349933844143,-4.32
NaN,1.05946944927402,1.00578485656082,-0.294332205508385,-0.565142111103856,-0.312677337480809,-4.315
NaN,1.04231787092047,0.990419902274559,-0.295899328976382,-0.567623793941478,-0.327794484975277,-4.31
NaN,1.02553717901172,0.978712874599181,-0.297494975502821,-0.567126856491444,-0.329341393474678,-4.305
NaN,1.01053877927312,0.963091998304528,-0.296193351045736,-0.561193016266656,-0.3312043419247,-4.3
NaN,0.992853821168929,0.945527632185913,-0.296969156555573,-0.55523003265983,-0.323903967262315,-4.295
NaN,0.975146196052166,0.93342223033758,-0.296436487265129,-0.550752629288668,-0.32718707301459,-4.29
NaN,0.963616880667019,0.911004872973056,-0.293089963210546,-0.557208201756496,-0.319226880498175,-4.285
NaN,0.951921964043867,0.895935005029912,-0.298554295980874,-0.576554177009444,-0.323416558080501,-4.28
NaN,0.936979460164133,0.883002376066828,-0.30143218984181,-0.577040012431795,-0.328985761661956,-4.275
NaN,0.924525102610843,0.867078097520513,-0.299552482856037,-0.575930660013179,-0.333194315268825,-4.27
NaN,0.914538996286594,0.848012894476423,-0.30936118812889,-0.570718366267425,-0.333801367243309,-4.265
NaN,0.903048785479298,0.827585141662435,-0.323121582641855,-0.571645186028151,-0.338841008533306,-4.26
NaN,0.890581576453362,0.810134064808328,-0.338038733111354,-0.569612717387423,-0.350393597792804,-4.255
NaN,0.892043332897542,0.792898922874832,-0.350300553870881,-0.566409356627697,-0.368662505283451,-4.25
NaN,0.878605447663291,0.778758539749965,-0.350751971698785,-0.564596647602033,-0.377155345028919,-4.245
NaN,0.867184182202565,0.765668874429225,-0.354150899777823,-0.564638255217676,-0.385423304998743,-4.24
NaN,0.854818278121813,0.755416030248776,-0.358981575985147,-0.5678094081674,-0.392830569600585,-4.235
NaN,0.844423130462094,0.743841220887508,-0.372566780763479,-0.570562819587234,-0.389364072827054,-4.23
NaN,0.832853601370672,0.740378274595176,-0.381749950321302,-0.576116284955038,-0.391706486410521,-4.225
0.80908033308928,0.82259855942813,0.726888515772498,-0.390160810946162,-0.579934646534589,-0.389021636075274,-4.22
0.795554206026299,0.808930845947362,0.712537026299848,-0.399764476681766,-0.580917138937287,-0.39984810025039,-4.215
0.780240250021122,0.800077781353619,0.696389368321381,-0.412165845729878,-0.575609707624259,-0.411841013694206,-4.21
0.76820768374131,0.78645119062976,0.6796091424614,-0.420185425763846,-0.571776053438519,-0.420919435427763,-4.205
0.756469704910001,0.770545950232838,0.66888272119361,-0.422137860909545,-0.572593992648415,-0.421958607035239,-4.2
0.743857180370841,0.757490321105788,0.657344743409282,-0.420050258658286,-0.569088775212526,-0.419471696144745,-4.195
0.730493318791963,0.745590550652248,0.647753518346205,-0.425056022937895,-0.569477242195694,-0.427205923502537,-4.19
0.720356222795663,0.732447800302577,0.636591331057504,-0.428284615522976,-0.565962982439216,-0.432949738633744,-4.185
0.710631041082717,0.722131905869444,0.621798386078225,-0.429916151476161,-0.568674734318539,-0.442306034347558,-4.18
0.699428400512654,0.71104496267818,0.609384559693551,-0.435358253574599,-0.577355041168812,-0.448289832627632,-4.175
0.686274688323724,0.691482015553744,0.592032920867328,-0.446754110193494,-0.576912169212908,-0.454346285559695,-4.17
0.674178466167062,0.67889751544853,0.581822133121733,-0.454223495004851,-0.566622435480492,-0.463366712341626,-4.165
0.663158725149897,0.658550207254591,0.564665882019505,-0.466467512494015,-0.571416692005424,-0.49733253422148,-4.16
0.652227223567666,0.645953725329218,0.555008529353422,-0.476060365473529,-0.569615410101853,-0.493658096305738,-4.155
0.639846380326282,0.632124451557731,0.540674686894507,-0.482564702475502,-0.570608783566671,-0.49465767930981,-4.15
0.621898556036237,0.620287054599973,0.522714780572722,-0.487682163042008,-0.568909293553637,-0.497531264136618,-4.145
0.611487468274847,0.611244728482716,0.512549477069827,-0.492368329999856,-0.571368044212698,-0.495586086563829,-4.14
0.599286962597199,0.604372567504244,0.501626868650625,-0.494350867389404,-0.572453631134576,-0.499653761734658,-4.135
0.587785905340602,0.593374493285951,0.492421387547768,-0.496666326733548,-0.572281871822409,-0.505256531243043,-4.13
0.577366121528346,0.584964520178523,0.482928032697518,-0.505182935190304,-0.570536206956268,-0.507331770249334,-4.125
0.56098094430644,0.575889594381411,0.471219288967365,-0.515532264791065,-0.57197337935604,-0.512619235809115,-4.12
0.551946094737889,0.567899891977032,0.455610933101541,-0.527483909349371,-0.575042435817612,-0.510592433087367,-4.115
0.541938753124256,0.559916782985267,0.447760860540659,-0.530254989496137,-0.577025874369611,-0.519929002848924,-4.11
0.529957303875751,0.551652871444192,0.434034624379721,-0.540927355211984,-0.571960155005108,-0.522845004330758,-4.105
0.519128264252302,0.544926373489984,0.420824011305852,-0.540530139540676,-0.568915308387841,-0.528689460172532,-4.1
0.509264677334469,0.537609212710213,0.409575495870704,-0.540543616545827,-0.572098775786144,-0.528995547226393,-4.095
0.497639678659874,0.527858300971462,0.4019197876475,-0.541073482324271,-0.574545530017506,-0.535065460328225,-4.09
0.485759528395867,0.519170941361229,0.393862762454219,-0.548020841758526,-0.578115140545712,-0.541345269379197,-4.085
0.475715098450553,0.510866760184779,0.385465660709611,-0.55163119179599,-0.582472594528735,-0.541113741795303,-4.08
0.467106564266738,0.501578988874987,0.384561365737676,-0.557961822177408,-0.589202314797455,-0.544759660725211,-4.075
0.458279376472094,0.492927227618878,0.377091529907299,-0.560057748801367,-0.591331739793815,-0.54877281421937,-4.07
0.45057303069754,0.484438176275699,0.370095541506823,-0.559522779392429,-0.596742198555737,-0.548241905795698,-4.065
0.442370133600063,0.476744006749059,0.362599548170593,-0.559645844013782,-0.597114823487265,-0.550106873020506,-4.06
0.434684855356272,0.467555795193198,0.35373680333495,-0.558471373777747,-0.596240715274437,-0.548522434371478,-4.055
0.425745017457114,0.458747334585861,0.345840477824558,-0.561752960017892,-0.592437714738239,-0.5426290070565,-4.05
0.417882072050979,0.449967284778768,0.336774456870147,-0.565051297347304,-0.592229048045063,-0.545449147056849,-4.045
0.409824977015451,0.441571596946329,0.326876184079102,-0.56729981821252,-0.59488901597505,-0.547926263701706,-4.04
0.401885748320924,0.433789469773734,0.320451375994142,-0.573261079339066,-0.603304611537732,-0.550182258798548,-4.035
0.391543980682606,0.424123624879424,0.314162698323727,-0.575488247086419,-0.601854746270941,-0.546707102131867,-4.03
0.3845545326347,0.414436082116643,0.306396617345109,-0.576430168290523,-0.602376852972608,-0.549433116517445,-4.025
0.37557597339802,0.401839243985927,0.301307547353694,-0.577631001588402,-0.600246536275653,-0.550908899773478,-4.02
0.36864018576042,0.391976186230404,0.296737692870772,-0.57758213776873,-0.60021852374456,-0.552454398896651,-4.015
0.361184962488378,0.38328048871731,0.290786096850705,-0.575083729145085,-0.603708626623597,-0.554276100601403,-4.01
0.35298552573748,0.375501475656367,0.283129210894329,-0.57638565980823,-0.603530492229311,-0.558697150569339,-4.005
0.350726310019954,0.368072016599051,0.27439748143649,-0.579825894664895,-0.604152287258539,-0.562287991122025,-4
0.343195750437351,0.359069104857794,0.264022921554615,-0.583746984262846,-0.602506563885056,-0.559325157627711,-3.995
0.338836913812132,0.35127558878573,0.256517498228421,-0.588429921427848,-0.59698260253247,-0.550701286702453,-3.99
0.331302093586649,0.344001001536032,0.250490832784759,-0.589678330437529,-0.597119673654199,-0.547815103280458,-3.985
0.323931661778246,0.335526928850835,0.244885462179429,-0.589066191260579,-0.595280045779776,-0.54546863799887,-3.98
0.315121452813436,0.3297673701662,0.237870367333835,-0.588065070872113,-0.59508052385766,-0.546200826386307,-3.975
0.307262927783181,0.323343329499653,0.230801326114558,-0.582715616848591,-0.591498160378972,-0.552695920079079,-3.97
0.298608376982234,0.313547706614983,0.223467422839065,-0.573125150193125,-0.590775026945186,-0.553980995754041,-3.965
0.289704041488044,0.304132377671319,0.218214441727911,-0.560210455795418,-0.587132963492069,-0.549392689291829,-3.96
0.282522408853009,0.295327008732494,0.212053717490883,-0.556807385681609,-0.58840415341005,-0.547260870132012,-3.955
0.272291535053484,0.288140437146004,0.203871202193516,-0.554498000253415,-0.583572506691417,-0.550299340914529,-3.95
0.26476675588921,0.279681483762207,0.195975398557773,-0.556254179678712,-0.581813891501425,-0.547462315991864,-3.945
0.257045317794141,0.272840286426917,0.18967228616243,-0.55551694011719,-0.579250117643397,-0.544336822382487,-3.94
0.251093378638396,0.264424197209561,0.184343783561122,-0.552321803363665,-0.577857567932205,-0.541464358786499,-3.935
0.24326817124538,0.259643464768755,0.180037637955716,-0.549980445794797,-0.578091418740143,-0.541537039465183,-3.93
0.236241105978616,0.255201066556237,0.175952241287805,-0.54565709734924,-0.571027502113834,-0.542341572389777,-3.925
0.229698284374743,0.251046945972665,0.170876003014018,-0.540407499374253,-0.566478682756809,-0.544154977313563,-3.92
0.227370945716834,0.244301824413378,0.165336009524805,-0.539197687760065,-0.56096469206948,-0.542205413274231,-3.915
0.229430808197745,0.239357374594063,0.163566993932851,-0.525680306425137,-0.557611816563795,-0.540968847104221,-3.91
0.236397939991202,0.234608435345467,0.158382997050884,-0.525692512790395,-0.557107832620595,-0.534092978950287,-3.905
0.230171527402964,0.229042399473873,0.155431663024908,-0.527530848318314,-0.550048035315143,-0.529103989422667,-3.9
0.225476615986978,0.223462558306895,0.151234793858619,-0.527962471283285,-0.544309994208569,-0.529687205888179,-3.895
0.221117683658529,0.217984470216127,0.145266599019323,-0.523536634304864,-0.542321610204522,-0.531122620205883,-3.89
0.217658196274038,0.211382723222105,0.140739562471777,-0.51772487151688,-0.537401487912505,-0.533667332709821,-3.885
0.215613514898316,0.205414450875036,0.136061166316913,-0.513589355751382,-0.533160666677578,-0.538071399539768,-3.88
0.213347714861805,0.199003606519297,0.130874276942505,-0.509460982780331,-0.53313930761973,-0.536076182285504,-3.875
0.208477351520689,0.193329058672105,0.127405606496007,-0.503867622936264,-0.52784864120905,-0.534895914902479,-3.87
0.203930308933364,0.187895964183055,0.124719725128035,-0.501735104571893,-0.525289414101373,-0.532226419681887,-3.865
0.198165151516817,0.183414236454874,0.120751885622125,-0.497253297495719,-0.523893674187699,-0.528923100019642,-3.86
0.192559090825668,0.177997254319596,0.115642560753751,-0.492525197107714,-0.52364445899777,-0.524100643485008,-3.855
0.189946946928294,0.173325768622035,0.110810820769275,-0.492409372385294,-0.52126004576896,-0.522228538337625,-3.85
0.185639325985258,0.168243724467576,0.107888225417425,-0.485700316575867,-0.518737487731769,-0.526779983837674,-3.845
0.180821639525029,0.161574092856427,0.101470080987563,-0.477303203168135,-0.522459225546918,-0.529084247638596,-3.84
0.17739310947349,0.156326040719065,0.0974242622618655,-0.474235845459686,-0.520121998961445,-0.526623950922027,-3.835
0.171949846327815,0.150638517323785,0.0937493420541053,-0.477704622719732,-0.513838514471494,-0.524397963115169,-3.83
